value
Helsingin Sanomat
Kaleva
Suomen kuvalehti
Suomen lääkärilehti
Talouselämä
Duodecim : lääketieteellinen aikakauskirja
Turun sanomat
TM : Tekniikan maailma
Opettaja
Kaltio : pohjoissuomalainen aikakauslehti
Etelä-Saimaa
Parnasso
Hufvudstadsbladet
Aamulehti
Arkkitehti : Suomen arkkitehtiliiton julkaisu
Suomen luonto
Kainuun sanomat
Virittäjä : Kotikielen seuran aikakauslehti
Sotilasaikakauslehti : Upseeriliiton julkaisu
Virittäjä
Tieteessä tapahtuu
Anna
Ny tid
Historiallinen aikakauskirja
Ruumiin kulttuuri
Sosiaaliturva
Karjala : puolueista riippumaton karjalaisten heimolehti
Lapin kansa : Peräpohjolan ja Lapin väestön äänenkannattaja
Rantapohja : Oulun pohjoispuolisten kuntien paikallislehti
Kotiliesi : Suomen kotitalousväen lehti
Kanava
Soundi : suomalainen rocklehti
Kuntalehti
Metsälehti : Keskusmetsälautakunta Tapion julkaisu
Keskisuomalainen
Koneviesti : puolueeton tekninen ammattilehti
Tuulilasi : koko perheen autolehti
Tietokone : uuden ajan ammattilehti
Suomen hammaslääkärilehti
Koillissanomat
Taide
Maaseudun tulevaisuus
Liikunta ja tiede
Psykologia : tiedepoliittinen aikakauslehti
Käytännön maamies : maatalousväen ammatti- ja kuvalehti
Teologinen aikakauskirja
Nuori voima
Horisont
Erä
Lapsen maailma
Kyrkpressen : Svenskfinlands kyrkliga veckotidning
Ympäristö ja terveys : elintarvike- ja ympäristöhygienian sekä työsuojelun erikoislehti
Lakimies
Aikuiskasvatus : aikuiskasvatustieteellinen aikakauslehti
Vene : veneilijän lehti
"Työ, terveys, turvallisuus : työsuojelualan aikakauslehti"
Fakta : talous ja tekniikka tänään
Teatteri
Metsästys ja kalastus
Etelä-Suomen sanomat
Tieteen kuvalehti
Kotipuutarha
ET-lehti : elämäntaito
Kotimaa
Kippari
Portti : Tampereen science fiction seuran lehti
Suomen kunnat
Sosiologia : Westermarck-seuran julkaisu
Hämeen sanomat
Kirjastolehti
Suomen kunnallislehti
Hiidenkivi : suomalainen kulttuurilehti
"Rantalakeus : Hailuodon, Kempeleen, Limingan, Lumijoen, Oulunsalon, Temmeksen ja Tyrnävän paikallislehti"
Aamun koitto : Suomen ortodoksisen kirkkokunnan äänenkannattaja ja ortodoksisten kotien hengellinen lehti
Hevosurheilu
Kodin kuvalehti
Carelia : Karjalan ASNT:n kirjailijaliiton kaunokirjallinen ja yhteiskuntapoliittinen kuukausijulkaisu
Kauppalehti Optio
Folktidningen Ny tid : organ för DFFF [Demokratiska förbundet för Finlands folk rf]
Ydin : rauhanpoliittinen aikakauslehti
Aviation week and space technology
Rumba : rockin ajankohtaislehti
Kotitalous
MikroPC
Kansan uutiset
Filmihullu
Oulu-lehti
Historisk tidskrift för Finland
Kalajokilaakso : sitoutumaton Kalajokilaakson talousalueen äänenkannattaja
Kasvatus : Suomen kasvatustieteellinen aikakauskirja
