value;translated
0/Kansallisgalleria Ateneumin taidemuseo/;Kansallisgalleria / Ateneumin taidemuseo, Finlands Nationalgalleri / Konstmuseet Ateneum, Finnish National Gallery / Ateneum Art Museum
0/Kansallisgalleria Nykytaiteen museo Kiasma/;Kansallisgalleria / Nykytaiteen museo Kiasma, Finlands Nationalgalleri / Museet för nutidskonst Kiasma, Finnish National Gallery / Museum of Contemporary Art Kiasma
0/Kansallisgalleria Sinebrychoffin taidemuseo/;Kansallisgalleria / Sinebrychoffin taidemuseo, Finlands Nationalgalleri / Konstmuseet Sinebrychoff, Finnish National Gallery  / Sinebrychoff Art Museum
0/kansan_arkisto/;Kansan Arkisto, Folkets Arkiv, The People's Archives
0/KARELIA/;Karelia-ammattikorkeakoulu, Yrkeshögskolan Karelia, Karelia University of Applied Sciences
0/KAVI/;Kansallinen audiovisuaalinen instituutti, Nationella audiovisuella institutet, National Audiovisual Institute
0/KELLOMUSEO/;Suomen Kellomuseo, Finlands Urmuseum, The Finnish Museum of Horology
0/KEMINTAIDEMUSEO/;Kemin taidemuseo, Kemi Konstmuseum, Kemi Art Museum
0/KERAVAMUSEO/;Keravan museopalvelut, Kervo museitjänster, Kerava Museum Services
0/Keski/;Keski-kirjastot, Keski-biblioteken, Keski Libraries
0/KHM/;Kemin historiallinen museo, Kemi Historiska Museum, Historical Museum of Kemi
0/KHRM/;K.H.Renlundin museo, K.H.Renlundin museo, K.H.Renlundin museo
0/KIFI/;kirjastot.fi, Kirjastot.fi, Kirjastot.fi
0/Kirkes/;Kirkes-kirjastot, Kirkes-biblioteken, Kirkes Libraries
0/Korpo Hembygdsmuseum/;Korpo Hembygdsmuseum, Korpo Hembygdsmuseum, Korpo Hembygdsmuseum
0/KOTUS/;Kotimaisten kielten keskus, Institutet for de inhemska språken, Institute for the Languages of Finland
0/KSM/;Keski-Suomen museo, Keski-Suomen museo, Keski-Suomen museo
0/KUHMU/;Kuopion kulttuurihistoriallinen museo, Kuopion kulttuurihistoriallinen museo, Kuopio Cultural History Museum
0/kultamuseo/;Kultamuseo, Guldmuseet, Gold Prospector Museum
0/Kuopio/;Kuopion kaupunginkirjasto, Kuopio stadsbibliotek, Kuopio City Library
0/Kuopion taidemuseo/;Kuopion taidemuseo, Kuopion taidemuseo, Kuopion taidemuseo
0/Kustavin museo/;Kustavin museo, Kustavin museo, Kustavin museo
0/Kymenlaakson museo/;Kymenlaakson museo, Kymenlaakson museo, Kymenlaakson museo
0/Kyyti/;Kyyti-kirjastot, Kyyti-biblioteken, Kyyti-libraries
0/LAHTIMUSEO/;Lahden museot, Lahti museer, Lahti City Museums
0/Lapinkirjasto/;Lapin kirjasto, Lapin kirjasto, Lapin kirjasto
0/LapinMetsamuseo/;Lapin metsämuseo, Lapplands skogsmuseum, Forestry Museum of Lapland
0/LASIMUSEO/;Suomen lasimuseo, Suomen lasimuseo, Suomen lasimuseo
0/lasipalatsi/;Albumit auki, Albumit auki, Albumit auki
0/Lastentarhamuseo/;Lastentarhamuseo, Barnträdgårdsmuseet, The Kindergarten Museum
0/Lastu/;Lastu-kirjastot, Lastu-biblioteken, Lastu Libraries
0/LAUREA/;Laurea-kirjasto, Laurea, Laurea Library
0/lep/;Leppävirran kirjasto, Leppävirran kirjasto, Leppävirran kirjasto
0/LMM/;Lapin maakuntamuseo, Lapplands landskapsmuseum, The Regional Museum of Lapland
0/LOHJANMUSEO/;Lohjan Museo, Lojo Museum, Lohja Museum
0/Lottamuseo/;Lottamuseo, Lottamuseet, The Lotta Museum
0/Louna/;Louna-kirjastot, Louna-kirjastot, Louna-kirjastot
0/loviisankaupunginmuseo/;Loviisan kaupunginmuseo, Lovisa stadsmuseum, Loviisa town museum
0/LPRMUSEOT/;Lappeenrannan museot, Lappeenrannan museot, Lappeenranta museums
0/LUC/;Lapin korkeakoulukirjasto, Lapin korkeakoulukirjasto, Lapland University Consortium Library
0/LUKE/;Luonnonvarakeskus (Luke), Naturresursinstitutet (Luke), Natural Resources Institute Finland (Luke)
0/Lukki/;Lukki-kirjastot, Lukki-biblioteken, Lukki libraries
0/Lumme/;Lumme-kirjastot, Lumme-biblioteken, Lumme-kirjastot
0/Lusto/;Lusto - Suomen Metsämuseo, Lusto - Finlands Skogsmuseum, Lusto - The Finnish Forest Museum
0/LUT/;LUT-tiedekirjasto, LUT-vetenskapsbibliotek, LUT Academic Library
0/MANTSALAMUSEO/;Mäntsälän museotoimi, Mäntsälä museum, Mäntsälä museum
0/Melontamuseo/;Suomen melontamuseo, Suomen melontamuseo, Suomen melontamuseo
0/merkki/;Median museo ja arkisto Merkki, Mediernas museum och arkiv Merkki, Media Museum and Archives Merkki
0/METROPOLIA/;Metropolian kirjaston kokoelmat, Metropolia Ammattikorkeakoulu, Metropolia Library collections
